store,week,treated,post,event_time,store_size,foot_traffic,unemp_rate,promo_spend,tau,sales,evt_m8,evt_m7,evt_m6,evt_m5,evt_m4,evt_m3,evt_m2,evt_p0,evt_p1,evt_p2,evt_p3,evt_p4,evt_p5,evt_p6,evt_p7,evt_p8,evt_p9,evt_p10,evt_p11,evt_p12,evt_p13,evt_p14,evt_p15,evt_p16,evt_p17,evt_p18,evt_p19,evt_p20
0,2,0,0,-68,600.0,51.28526583669398,5.829387416042224,5.303590494564173,0.0,33.669526838440184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0,-62,600.0,57.44548576957394,5.26701351534361,5.543871442518179,0.0,34.28787291579565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,0,-61,600.0,53.3890475649551,5.432338972400565,5.325228271685369,0.0,34.75749489218569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0,0,-58,600.0,55.85277675084708,5.726070818036188,5.065205761599439,0.0,40.80539423273592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,0,0,-54,600.0,54.145094007854496,5.704936178289373,6.215968672990593,0.0,39.276941745146935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,0,0,-49,600.0,58.19644944066488,5.676927024976854,4.676433778086184,0.0,35.76601317589512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,0,0,-47,600.0,54.71873851074157,5.922353590711929,5.017240722841791,0.0,38.27724504337026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,0,0,-46,600.0,51.46037445406418,5.273599811966034,6.532024239488648,0.0,34.77361727801623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,0,0,-42,600.0,50.34580206554598,5.807850183681653,5.481073095335004,0.0,37.44840198475316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,0,0,-35,600.0,53.44630088606212,5.837220534279459,6.005376157716213,0.0,37.3270687701595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36,0,0,-34,600.0,49.703391592597356,5.935967562114352,6.697264049046205,0.0,37.745570451972284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37,0,0,-33,600.0,49.69133526530022,5.725017878182763,5.322041921085363,0.0,34.92339095642166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43,0,0,-27,600.0,50.34805774731463,5.968210879576903,5.092539657047682,0.0,33.88356532029621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,0,0,-10,600.0,56.824589328110335,6.035728183214923,7.468586703293335,0.0,46.10775661428357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,63,0,0,-7,600.0,59.7439764199991,6.262117569291705,7.085630156506076,0.0,44.70620015499798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65,0,0,-5,600.0,58.52154450673024,6.2300250982655765,6.482429563048548,0.0,43.332108850485454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
